tconst ordering nconst category job characters
1000007482 616583178 2017818523 1198496725 1198496725 538588297
100000750 1161197416 455907652 806426402 538588297 538588297
100000750 1756912528 1774786967 1942041624 538588297 1602071971
100000750 1767767410 2019503301 1723787779 538588297 538588297
100000750 1837452979 1286631190 480043935 538588297 1923661894
100000750 1985697158 1863704385 1198496725 1198496725 538588297
100000750 2125979147 928969808 480043935 538588297 460678935
100000750 390717533 1966567164 1942041624 538588297 538588297
100000750 422092499 1144753848 480043935 538588297 879573104
100000750 616583178 1185357020 1392770497 538588297 538588297
1000007572 1161197416 356488756 480043935 538588297 543667740
1000007572 1756912528 1772528858 1942041624 538588297 171979015
1000007572 1767767410 428099701 1723787779 538588297 538588297
1000007572 1837452979 571537485 480043935 538588297 384225677
1000007572 1985697158 118667311 806426402 538588297 538588297
1000007572 2060172782 1305512515 1942041624 538588297 1959701908
1000007572 2125979147 1125750901 1942041624 538588297 534205615
1000007572 390717533 1911392554 480043935 538588297 441612868
1000007572 422092499 2071874630 480043935 538588297 1551153506
1000007572 616583178 1468838312 1392770497 1392770497 538588297
1000007659 1161197416 524595733 1443394659 538588297 538588297
1000007659 1756912528 880030538 1443394659 538588297 538588297
1000007659 1767767410 1554289993 1392770497 1493278013 538588297
1000007659 1837452979 708115345 644663674 538588297 1103198110
1000007659 1985697158 300825174 1198496725 1198496725 538588297
1000007659 2060172782 1999620715 1443394659 538588297 538588297
1000007659 2125979147 1077858421 644663674 538588297 1103198110
1000007659 390717533 1419766111 644663674 538588297 1103198110
1000007659 422092499 1235054793 644663674 538588297 1103198110
1000007659 616583178 1550450970 1198496725 1198496725 538588297
1000007777 1767767410 1864111038 1942041624 538588297 592329945
1000007777 1837452979 355263135 480043935 538588297 1830652113
1000007777 2125979147 1324993822 1942041624 538588297 219123949
1000007777 390717533 1436616621 480043935 538588297 1452466031
1000007777 422092499 203895186 1942041624 538588297 115087338
1000007777 616583178 627053063 480043935 538588297 2089253144
1000007834 1161197416 694471304 1198496725 1198496725 538588297
1000007834 1756912528 1529300639 480043935 538588297 242161213
1000007834 1767767410 1559318309 1723787779 538588297 538588297
1000007834 1837452979 1449798689 1942041624 538588297 589975209
1000007834 1985697158 1108152171 1392770497 920631082 538588297
1000007834 2060172782 1667633594 1942041624 538588297 209697653
