tconst directors writers
100003166 1655268360 1655268360
1000031742 1655268360 1604129504
1000032678 1655268360 1325689591
100003292 1655268360 1655268360
1000032990 483632935 1655268360
1000033302 1686134422 291169240
1000034240 686252613 1384826899
1000035128 1655268360 1655268360
1000035225 1655268360 1655268360
1000035419 436106307 1485894866
1000035551 1609584480 1609584480
1000035798 1655268360 1655268360
1000036104 451225806 96990318
1000036263 1655268360 1655268360
1000036467 1655268360 1655268360
1000036479 1655268360 1655268360
1000036719 899234930 865167925
1000036757 689273753 803527710
1000036855 1130705114 1655268360
1000037222 1655268360 1655268360
1000037437 1655268360 1655268360
1000037806 1664732550 1664732550
1000037848 1655268360 1655268360
1000037957 566610034 1627430514
1000038054 1655268360 1655268360
1000038075 978358853 978358853
1000038101 1655268360 1655268360
1000038481 1655268360 1655268360
1000038689 166416717 1879278758
1000038790 1449528835 1655268360
1000038838 451273311 1655268360
1000038851 1146697014 1429718243
1000039362 1512227704 611615539
1000039533 90608243 90608243
1000039638 1517700238 232370848
1000040068 1601379051 867570957
1000040230 1515331959 496941001
1000040263 1430412116 1430412116
1000040648 1281356578 1655268360
1000040700 1655268360 1655268360
1000040781 1655268360 1655268360
1000040837 1755225636 564759786
1000041071 1014899533 655551559
1000041094 1534407468 146278668
1000041289 360254173 1415368939
1000041586 1655268360 2025222110
100004167 1655268360 395485169
1000042512 1883383583 1749803940
100004255 1898568897 1416941963
100004258 1655268360 2064634300
1000042605 1655268360 1655268360
1000042654 1069536616 1447720040
100004271 1655268360 1655268360
1000042949 1673182629 1673182629
1000043218 155521433 1655268360
100004385 1194691616 577704967
1000043924 429830840 1533833473
1000044131 1655268360 1443742710
1000044320 2096195359 1162935973
1000044322 1769028392 1769028392
1000044611 2098360902 2098360902
1000044626 1655268360 1655268360
1000045093 1655268360 1655268360
1000045143 1655268360 1562502116
1000046526 764431590 1305359988
1000046774 247810051 1188106537
1000046908 373404224 373404224
1000047009 1655268360 1655268360
100004706 1744721510 1202791740
1000047211 1388459133 689593808
1000047229 1655268360 1655268360
1000047342 1360456095 1655268360
1000047365 295061033 1655268360
1000047425 1110089565 1655268360
1000047605 656850325 656850325
100004778 955192705 1040483192
1000047832 1511231246 1511231246
1000047889 566610034 1627430514
1000048158 184112790 610674757
1000048827 1655268360 1655268360
1000049089 1655268360 1987223896
1000049123 1655268360 1655268360
1000049204 1331365243 671597882
1000049293 725099367 1655268360
1000049379 505595049 1655268360
1000049756 838385031 1210796389
1000049885 345507964 1587910965
1000050348 1655268360 1655268360
1000050473 1655268360 1655268360
1000050559 26598533 1856967087
1000050957 500787679 2110098819
1000051012 474696991 516113411
1000051086 1714916279 69185696
1000051172 1611023477 528923716
1000051853 704734959 1096079221
1000052114 1827848974 1655268360
1000052271 1021990298 1903161151
1000052380 116009777 225302014
1000052704 1655268360 1655268360
1000052706 1655268360 1655268360
1000052948 1655268360 1655268360
1000053215 234512104 1800840815
1000053257 1655268360 1220212795
1000053348 1655268360 1655268360
1000053535 811269888 6001993
1000053717 1655268360 1655268360
1000054230 285116748 285116748
1000054546 1655268360 1655268360
1000054551 657050499 657050499
1000054814 690939200 1655268360
1000055438 1655268360 1655268360
100005567 317417916 317417916
1000055719 1655268360 1655268360
1000055731 1655268360 1655268360
1000055837 371740283 1655268360
1000055927 1655268360 1655268360
1000056434 1655268360 1427163239
1000056448 941582106 447179870
1000056791 724842434 1334813093
1000056885 1549388040 369603715
1000056908 1151651134 1655268360
100005698 1655268360 1655268360
1000057049 1655268360 1655268360
1000057339 1655268360 1655268360
1000057393 395952183 1543930978
1000057407 766161797 1655268360
1000057813 1655268360 1655268360
100005787 747769139 747769139
1000058066 1745119742 1303211015
1000058286 1655268360 1655268360
1000058453 1826577041 1580271131
1000058503 1524252425 1655268360
1000058596 1065271237 822954899
1000058650 1655268360 1655268360
1000059265 2039422546 691541488
1000059341 1655268360 1655268360
1000059603 445105628 374372579
1000059607 1722151802 481019607
1000059652 1655268360 1655268360
1000059757 133417942 1935252225
1000059866 658674620 856415959
1000060053 317152062 1655268360
100006028 1492341917 1051528053
1000060393 761991708 1655268360
1000060638 861512192 1655268360
1000061224 2095520637 908028895
1000061307 1360963390 254084865
1000061314 1655268360 1655268360
1000061560 1655268360 1655268360
1000061876 1053589992 1053589992
1000062147 1655268360 1655268360
1000062240 868130707 1655268360
1000062664 1056498537 973142082
1000062948 1780886382 1115396783
