tconst averageRating numVotes
1000290270 1101107360 1521049027
100029110 1807934382 518913707
1000296237 1222142432 447401866
1000296455 296106993 970064216
1000298546 1606851054 677004469
1000299307 51475912 2131883329
1000300205 1378392855 2009547602
1000300432 1510676963 1135265326
1000303678 1807934382 1431496974
1000304984 1513502347 1771802022
1000307117 1717409078 1679052603
1000308180 1962196947 1402198397
10003088 565257480 2123296337
1000309034 1390020420 1426033548
1000309624 51475912 1381179693
100031017 1380935213 1738205456
1000310665 296106993 1400597500
1000312618 1101107360 1014880320
100031334 1999382690 1738205456
1000313556 1836883491 2103533408
1000314807 1836883491 1482720587
1000314920 1582842673 1927213520
1000315669 1807934382 1487085693
1000323249 1566751959 736639923
1000326256 1266359958 2083776563
1000328373 1962196947 1111555662
1000328531 55574156 1437125105
1000328655 1121467465 1739056251
1000331609 1807934382 1482720587
1000339302 1378392855 2006574170
1000340157 1101107360 617198026
1000340557 1807934382 1437125105
1000343108 1513502347 1437125105
1000345356 55896884 617198026
1000346338 1836883491 1586001083
1000346979 1121467465 1930345500
1000352181 1121467465 1437125105
1000352416 55896884 651990898
1000353074 1380935213 2009547602
1000354616 1619063395 142994412
1000357539 1717409078 1111555662
1000358767 1689813014 663757487
1000363988 1513502347 1402198397
1000364091 1834528096 534699180
1000366686 1962196947 7601776
1000367743 886594069 2074509339
1000368096 1962196947 1479557939
1000368805 1231609043 1808291305
100037068 1242264039 1009955411
1000372645 1566751959 2013482599
1000372816 296106993 1101728027
1000373393 1231609043 677004469
1000375060 492306891 1516291128
1000376121 558587328 2006574170
1000376770 1397408430 1427821762
1000377198 1101107360 2103533408
1000378065 61197209 1479557939
1000379578 1266359958 1967417949
1000381081 1836883491 677004469
1000382439 489106386 1427821762
1000383526 296106993 730294304
1000386973 953837881 951207580
1000388984 1606851054 1437125105
1000389147 1231609043 506985877
1000389328 1662820050 853757737
1000391067 1943046654 677004469
1000392078 953837881 1771802022
1000393489 1836883491 534699180
1000395028 1943046654 1673250332
100039688 225050775 2009547602
1000400769 1724116551 1738205456
100040108 492306891 2006574170
1000402239 61197209 736639923
1000402821 1101107360 471690383
1000404787 508765189 1344849987
1000405942 1717409078 990097374
100040606 1329013187 2006574170
100040660 508765189 1482720587
1000407568 296106993 251663639
1000408506 1329013187 1466208520
1000409423 1329013187 1589308354
1000409715 508765189 1402198397
1000413828 1266359958 1738205456
1000413853 1999382690 1427821762
1000417181 1222142432 1426033548
1000421324 1943046654 1739056251
1000421340 296106993 1111555662
10004216 1380935213 1738205456
1000422170 565257480 2009547602
1000423679 1101107360 1734402268
