tconst parentTconst seasonNumber episodeNumber
1000031421 1415459161 1935597282 665041625
1000032105 516702840 1935597282 276107499
1000032656 549582725 1906157682 344391885
1000032827 1029596866 1935597282 1125156736
1000032829 1300740201 1935597282 1076155389
1000033211 2119600624 1906157682 1969069028
1000033794 1442159977 1935597282 669560402
1000034304 1126703503 1935597282 914181773
1000034364 656846160 2093227591 2093227591
100003437 1754836042 1935597282 1334682972
1000034402 187528440 2093227591 2093227591
100003453 188774389 1076155389 427778729
1000035444 1133577769 1935597282 1818155806
1000036211 1145306461 658142020 945684700
1000036535 97074340 1935597282 309210934
1000037090 230870865 1935597282 639098870
1000037728 2007122242 1935597282 885337090
1000037950 894359070 644545014 651461093
1000038118 223863960 1935597282 864913876
1000038258 1740373666 1296460517 2109872842
1000038438 1667574142 1935597282 109464517
1000038463 1635093169 1935597282 1125156736
1000038548 1519745972 1935597282 511018725
100003868 2118838121 1935597282 1296460517
1000039163 1632099752 1906157682 69433363
1000039334 538879764 914181773 682193001
100003997 64256504 1935597282 651461093
1000040336 1557581352 1935597282 868737477
1000040530 1497017862 1935597282 1747095600
1000041029 2074075641 2093227591 2093227591
100004161 482931899 1935597282 1175448239
1000041810 445053193 1935597282 1906157682
1000042055 1390799946 510687177 1125156736
1000042275 648403577 1935597282 365728183
1000042517 848250750 1935597282 644545014
1000042882 365666915 1935597282 260898911
1000042975 1660500644 344075432 1076155389
1000043060 1671977585 2093227591 2093227591
1000043155 1740295561 1935597282 1125156736
1000043220 2091141203 1076155389 1728717622
1000043503 1826170593 1935597282 344075432
1000043571 515596381 1935597282 1884490263
1000043653 1164843455 1935597282 1937527650
1000043661 327818484 1935597282 2050186310
1000044018 1533968162 1935597282 1884490263
1000044062 1953527665 1935597282 1935597282
10000444 167093891 1935597282 427778729
1000044909 327818484 1935597282 1299411139
1000045381 248670726 1935597282 914181773
1000045812 584589771 1935597282 1935597282
1000045993 1048230799 1935597282 24555272
1000046258 1199002836 1935597282 1906157682
1000046415 1036117714 1935597282 1935597282
1000046735 1573465058 1935597282 622221060
1000047151 936519678 644545014 1120924558
1000047455 315219933 2093227591 2093227591
100004787 392935832 1906157682 2075431989
1000047945 2115226042 1935597282 554374731
1000047978 1110509170 2093227591 2093227591
1000047997 390314023 2093227591 2093227591
1000048066 1735190586 1296460517 1945353820
1000048189 604402459 1935597282 1367180859
1000048214 766397068 1935597282 1935597282
1000048462 1503015155 1935597282 1945353820
1000048499 1930741906 1296460517 425443672
1000048602 1231659188 1076155389 344075432
100004883 1530204247 1935597282 1945353820
1000049087 1431116895 1935597282 1076155389
1000050703 1247479941 2093227591 2093227591
1000051031 1003966847 1935597282 995917468
1000051460 1349029049 2093227591 2093227591
1000051614 507293960 2093227591 2093227591
100005219 70747556 1935597282 1703541195
1000052221 297121384 277511426 1367180859
1000052324 1562795413 644545014 1125156736
1000052479 1151906518 510687177 344075432
1000052937 559492607 1935597282 1935597282
1000053062 1365672354 1935597282 929843074
1000053424 2050257655 1906157682 1296460517
1000053435 62065993 1935597282 644545014
1000053990 92965714 1935597282 344075432
1000054907 1748676023 1935597282 960075877
1000055244 288415618 639098870 644545014
1000055715 1054776093 1935597282 1866382461
100005594 899490952 1076155389 644545014
1000056739 2105537500 2093227591 2093227591
1000057003 1206345645 2093227591 2093227591
1000057077 1122082034 1935597282 1935597282
100005761 879836408 2093227591 2093227591
1000058777 932653396 2093227591 2093227591
1000058926 2091141203 639098870 904736514
1000058972 2062561014 1935597282 1367180859
1000059819 128889954 1935597282 515773166
1000059907 1119952344 1935597282 427778729
100005997 68282311 2093227591 2093227591
1000059979 127069932 644545014 172797324
1000060314 1082013775 1935597282 986992887
1000061152 727799996 1906157682 1906157682
