nconst primaryName birthYear deathYear primaryProfession knownForTitles
1000008 1039108197 2126297961 2126297961 641601868 1623773892
10000084 1246947562 2126297961 2126297961 48867219 2126297961
1000008479 319083325 2131826610 2126297961 1556632936 261472866
1000008520 2132082992 2126297961 2126297961 48867219 1275117090
1000008720 1436354702 2126297961 2126297961 2074521603 840162179
1000008746 2029009679 2126297961 2126297961 1019232346 893252740
1000009096 854310640 2126297961 2126297961 641601868 1420387131
100000941 1630505557 2126297961 2126297961 556859920 335388576
1000009445 268139439 2126297961 2126297961 641601868 2126297961
1000009564 1603798544 2126297961 2126297961 90579072 1216085713
1000009752 526349620 2126297961 2126297961 90579072 1844426855
1000010368 1443205417 2126297961 2126297961 90579072 584398262
1000010468 2072081860 2126297961 2126297961 641601868 1826002633
1000010508 598082918 2126297961 2126297961 641601868 133589151
1000010583 1470641469 2126297961 2126297961 641601868 1818824787
1000010663 861848532 2126297961 2126297961 1190972371 772406659
1000010749 1974818738 2126297961 2126297961 1980261319 2126297961
1000010826 2024265866 2126297961 2126297961 48867219 1492072734
100001085 676108430 2126297961 2126297961 48867219 1425100617
1000010857 266416667 2126297961 2126297961 1190972371 963377574
1000010906 691713278 2126297961 2126297961 904378253 1979893978
100001100 462655481 2126297961 2126297961 90579072 1174481612
1000011096 741497787 2126297961 2126297961 90579072 2126297961
1000011231 1957497593 2126297961 2126297961 48867219 2126297961
100001134 1371623767 2126297961 2126297961 90579072 1569320474
1000011347 749803885 2126297961 2126297961 2094793598 192695007
1000011354 1854802643 2126297961 2126297961 48867219 2126297961
1000011513 289578400 2126297961 2126297961 6093917 323390341
1000011556 2135599613 2126297961 2126297961 90579072 379466958
1000011646 1529431026 41032842 872935958 641601868 1668759143
1000011664 1298665461 2126297961 2126297961 641601868 804457995
1000011718 520831065 2126297961 2126297961 641601868 184587049
1000012044 1737719451 2126297961 2126297961 641601868 1002420626
1000012148 26116063 2126297961 2126297961 379402992 1034178818
1000012249 1069973589 2126297961 2126297961 641601868 1242174077
1000012344 1987291997 2126297961 2126297961 48867219 2126297961
1000012464 131919374 2126297961 2126297961 1485907779 175908306
100001254 869080456 1019798923 2126297961 1865984840 1355527095
100001266 1836706924 2126297961 2126297961 90579072 537731100
1000012725 1497958521 2126297961 2126297961 600905084 1180117995
1000012812 1846217486 2126297961 2126297961 1333747785 1968614141
1000012893 1741423497 2126297961 2126297961 1897236228 706828159
1000013108 762536648 1257947512 348938411 1003031570 1332829503
1000013157 2069600040 2126297961 2126297961 48867219 2126297961
1000013406 653445509 2126297961 2126297961 641601868 1895719970
1000013505 1675737934 2126297961 2126297961 289259722 444437685
1000013612 870874504 2126297961 2126297961 48867219 2126297961
100001362 925987019 2126297961 2126297961 2094793598 541884190
1000013659 459777653 2126297961 2126297961 2074521603 993797944
1000013820 475688077 2126297961 2126297961 1181129578 1135243824
1000013833 2123132903 2126297961 2126297961 5871712 1322177186
1000013834 340701574 2126297961 2126297961 1134304899 1241967540
1000013836 764363582 2126297961 2126297961 641601868 26917388
1000013901 63184272 2126297961 2126297961 48867219 2126297961
1000014113 1833778304 2126297961 2126297961 562515633 1831706294
1000014201 2112693729 2126297961 2126297961 561069210 263859031
1000014824 68717573 2126297961 2126297961 1946546233 514064048
1000014837 1466735137 2126297961 2126297961 48867219 1787106029
1000014946 835765111 2126297961 2126297961 1980261319 1218374702
100001495 2038089606 2126297961 2126297961 845616205 181710793
1000014952 1395234320 2126297961 2126297961 641601868 1119662779
1000015058 745146410 2126297961 2126297961 90579072 1261844650
1000015179 1624766717 1835663653 2126297961 1892699062 1930068961
1000015770 1853984031 2126297961 2126297961 1190972371 1392216887
1000015825 1949251868 2126297961 2126297961 771556289 975365887
1000016271 1655379235 2126297961 2126297961 48867219 1245955865
1000016325 633509783 2126297961 2126297961 575907462 1008430752
1000016844 464503087 2126297961 2126297961 641601868 748733990
1000016914 1952913065 2126297961 2126297961 48867219 2126297961
1000017254 732992535 2126297961 2126297961 1897236228 876785529
1000017374 1595912921 2126297961 2126297961 562515633 786385761
1000017493 921583522 2126297961 2126297961 48867219 1042848674
1000018208 1191560349 2126297961 2126297961 48867219 1776187646
1000018286 1090396856 2126297961 2126297961 959035603 2126297961
1000018433 375569235 2126297961 2126297961 1037751678 1862951773
1000018568 873729306 2126297961 2126297961 641601868 1751107576
100001870 1290885820 2126297961 2126297961 408170117 883581968
1000018755 1175078789 2126297961 2126297961 318302405 2028377654
1000018762 993512686 2126297961 2126297961 562515633 1692570762
1000018810 531582748 2126297961 2126297961 641601868 1643540484
1000019917 34908048 2126297961 2126297961 1777867909 1793497957
1000019948 1548505841 2126297961 2126297961 641601868 848425102
1000020258 353633652 2126297961 2126297961 641601868 2126297961
1000020423 463917232 2126297961 2126297961 50031346 1731002154
1000020447 2122240811 2126297961 2126297961 641601868 1155691226
1000020459 1313166585 2126297961 2126297961 90579072 1980238012
1000020508 23620566 2126297961 2126297961 90579072 2126297961
1000020521 203357014 2126297961 2126297961 562515633 746678368
